mu,Max_fit,Gen,Dataset,Dist,Hof
60,9.0,42,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.39242940067420584,"[7, 3, 3, 7, 3, 7, 3, 9, 3, 9]"
61,9.0,36,"[7, 6, 7, 7, 9]",0.24185749449656468,"[4, 4, 4, 3, 7, 7, 6, 7, 7, 3, 9]"
62,11.0,13,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1560042848904457,"[3, 6, 4, 9, 4, 9, 3]"
63,11.0,35,"[6, 7, 7, 7, 7]",0.12095092700846743,"[3, 4, 7, 7, 7, 3, 7, 6]"
64,9.0,28,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[7, 3, 3, 7, 7, 4, 7, 4, 7, 3]"
65,10.0,60,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.18670537878318916,"[6, 3, 7, 3, 9, 9, 4, 4]"
66,11.0,36,"[7, 7, 7, 7, 7, 7, 7]",0.12712843905603033,"[3, 4, 3, 7, 7, 7, 7]"
67,9.0,39,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[4, 3, 7, 7, 7, 7, 4, 4, 7, 3]"
68,9.0,43,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[3, 7, 3, 4, 4, 4, 7, 7, 7, 7]"
69,9.0,60,"[7, 7, 7, 7, 6, 7]",0.22240681407904705,"[3, 7, 7, 7, 3, 4, 3, 6, 3, 7, 7]"
