mutate,Max_fit,Gen,Dataset,Dist,Hof
0.0,13.0,0,"[7, 7, 7, 7, 7, 7, 7]",0.2928932188134524,"[7, 3]"
0.05,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 3, 7]"
0.1,13.0,0,"[7, 7, 7, 7, 7, 7]",0.18350341907227385,"[7, 10, 7, 3]"
0.15000000000000002,13.0,0,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.12154140808066816,"[3, 9, 4]"
0.2,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 3, 7]"
0.25,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 7, 3]"
0.30000000000000004,12.0,47,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.15948948511276317,"[9, 3, 4, 7, 3]"
0.35000000000000003,12.0,6,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.15948948511276317,"[3, 4, 9, 7, 3]"
0.4,11.0,11,"[6, 7, 7, 7, 7]",0.12095092700846743,"[7, 4, 7, 3, 7, 7, 6, 3]"
0.45,11.0,12,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1884656585485055,"[6, 7, 3, 9, 3, 3, 4]"
0.5,9.0,19,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.26548296191217813,"[3, 7, 3, 4, 4, 9, 9, 3, 7, 7]"
0.55,10.0,21,"[7, 6, 7, 7, 9]",0.14188366967896693,"[4, 3, 7, 9, 4, 7, 6, 7, 6, 4, 7, 7]"
0.6000000000000001,9.0,17,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.25938135202038015,"[7, 4, 7, 6, 4, 3, 9, 4, 3, 7]"
0.65,9.0,16,"[7, 7, 9, 7, 7, 7, 7, 7, 7, 9, 7]",0.24748786733772754,"[7, 7, 7, 4, 7, 4, 3, 3, 4, 9]"
0.7000000000000001,10.0,14,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1741081744498082,"[7, 7, 3, 3, 3, 4, 9, 4, 9, 3, 13]"
0.75,10.0,18,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.13389551074863382,"[4, 7, 11, 6, 7, 3, 9, 4, 3, 3, 4]"
0.8,9.0,19,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[3, 4, 7, 3, 6, 4, 3, 9, 9, 4, 7]"
0.8500000000000001,9.0,24,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.22221520810631368,"[4, 4, 3, 7, 7, 6, 3, 4, 9, 7, 4]"
0.9,9.0,18,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 7, 3, 7, 7, 7, 4, 6, 4, 7, 4]"
0.9500000000000001,9.0,30,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[4, 7, 7, 4, 3, 6, 3, 7, 3, 7, 7]"
