optimal,Max_fit,Gen,Dataset,Dist,Hof
131164,9.0,30,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[7, 3, 4, 3, 3, 4, 6, 7, 9, 4, 9]"
131347,9.0,27,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[7, 7, 4, 7, 7, 3, 7, 4, 3, 4]"
131527,9.0,61,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1958421698590238,"[4, 3, 4, 4, 6, 7, 9, 3, 3, 7, 7]"
131691,9.0,29,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 3, 4, 4, 4, 6, 7, 7, 7, 7, 7]"
131865,9.0,32,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1741081744498082,"[4, 3, 3, 7, 6, 4, 7, 4, 9, 9, 4]"
132037,9.0,44,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[7, 7, 7, 7, 3, 7, 3, 4, 4, 4]"
132204,9.0,33,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[4, 3, 7, 3, 7, 7, 6, 7, 4, 4, 7]"
132371,10.0,24,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.09214488312175628,"[7, 3, 3, 3, 6, 9, 9, 4, 4, 4]"
132526,9.0,85,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 4, 7, 7, 4, 7, 6, 3, 7, 7, 3]"
132664,9.0,28,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[7, 3, 7, 3, 6, 9, 9, 4, 3, 4]"
