cross,Max_fit,Gen,Dataset,Dist,Hof
0.0,0.0,9,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.02,1.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.04,0.0,10,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.06,1.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.08,1.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6]"
0.1,0.0,9,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.12,0.0,11,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.14,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.16,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.18,0.0,12,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.2,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.22,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.24,0.0,8,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.26,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.28,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.3,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.32,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.34,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.36,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.38,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.4,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.42,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.44,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.46,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.48,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.5,0.0,42,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.52,0.0,4,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.54,0.0,4,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.56,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.58,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.6,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.62,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.64,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.66,0.0,7,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.68,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.7000000000000001,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.72,0.0,6,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.74,0.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.76,0.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
0.78,0.0,5,"[6, 6, 6, 6]",0.0,"[6, 6, 6, 6]"
