cross,Max_fit,Gen,Hof
0.07691010190445434,100,0.0,"[0.0023104517728310815, 1.0, 0.003994159717854008, 0.01728036186575662, 0.001191034189608144, 0.07964298722688297]"
0.06800427917196891,96,0.05,"[0.0017909987197884877, 1.0, 0.0029998924681326924, 0.01763885903459984, 0.0012034924029922212, 0.07005897006760292]"
0.08189521326456109,89,0.1,"[0.01395259101761496, 1.0, 0.013362163163024873, 0.01802705300640986, 5.648203399765721e-05, 0.08630591929271851]"
0.08136317099729157,93,0.15000000000000002,"[0.013666720948317676, 1.0, 0.013245561057896704, 0.018071743730133802, 2.810749125707615e-05, 0.08680097985637765]"
0.06514173600654977,84,0.2,"[0.0, 1.0, 0.0, 0.017933322398676035, 0.001342237222079096, 0.06616790382438062]"
0.08065249845782785,97,0.25,"[0.0022862849358207434, 1.0, 0.013465972511958222, 0.017308359110207134, 0.0010930913485685237, 0.08380894178836694]"
0.07932601915449783,75,0.30000000000000004,"[0.0, 1.0, 0.0, 0.017851653629467865, 0.001342237222079096, 0.08123009182226477]"
0.0741328916673462,91,0.35000000000000003,"[0.0007606006514400591, 1.0, 0.0, 0.017671826889719494, 0.0013154301494387962, 0.07592824166306492]"
0.08114227727277305,95,0.4,"[0.0, 1.0, 0.0019182169103827264, 0.017316117515471664, 0.001347169793699298, 0.08350510910904752]"
0.08169754773306294,96,0.45,"[0.012668616352500772, 1.0, 0.012115445844920157, 0.017905568730111277, 0.00014126265974510018, 0.08617374655468119]"
0.07577707685458165,48,0.5,"[0.014015219041481154, 1.0, 0.013245561057896704, 0.01771143354073724, 6.02662941614182e-05, 0.09255895380374976]"
0.08217122558595366,75,0.55,"[0.0, 1.0, 0.0019931997936563314, 0.0175155820952386, 0.0013491231879358362, 0.0845406679342426]"
0.08066372344656864,99,0.6000000000000001,"[0.014062392719332753, 1.0, 0.012989278951807556, 0.01805130674336478, 4.8650798255721123e-05, 0.08755515816840008]"
0.08043224118178868,70,0.65,"[0.0011721554418249011, 1.0, 0.0019170846447377713, 0.01673325518517798, 0.0012650756264768065, 0.0830552900374105]"
0.08090973468138397,84,0.7000000000000001,"[0.0006510015340149065, 1.0, 0.0023018857764923145, 0.01791273291047923, 0.0016097443189440077, 0.08325811021372444]"
0.0771092297826298,97,0.75,"[0.000828881555557257, 1.0, 0.00195306862147327, 0.017690735140737397, 0.001173320802134875, 0.07933551328344939]"
0.08189483923357027,74,0.8,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
0.08174553265736106,98,0.8500000000000001,"[0.007472488428922511, 1.0, 0.00442657477128618, 0.017526739668567954, 0.0008288092986988703, 0.08504898981327261]"
