rand,Max_fit,Gen,Hof
0.07201169914111533,99,7585,"[0.05365226624937127, 1.0, 0.026614994873250492, 0.014590454661556812, 0.0015462642415960033, 0.2937016996912845]"
0.06346838063731301,86,7600,"[0.0, 1.0, 0.026971180977529357, 0.013920216705300317, 0.0014733589840785152, 0.2932903701759797]"
0.05892144164197385,71,7615,"[0.0, 1.0, 0.02493752844373491, 0.013907008838300722, 0.001498858497186224, 0.28885430356112685]"
0.061483712471654246,72,7631,"[2.9487163076048905e-05, 1.0, 0.02669483571312562, 0.013899106162603777, 0.0018080458038270302, 0.2911873277582959]"
0.07684262882402469,92,7646,"[0.06070826306913996, 1.0, 0.027050850867852465, 0.01428341062942583, 0.0034540325830407, 0.29480113867763724]"
0.060067446154489515,98,7661,"[0.04094165813715456, 1.0, 0.026778450896284438, 0.014546001590088996, 0.0028924026224450444, 0.28630598490688236]"
0.051430170891120265,87,7675,"[0.027176550519266235, 1.0, 0.027019053529303436, 0.014093847274090568, 0.0019411821799475881, 0.04441932760740933]"
0.05744372756879616,79,7689,"[0.00036264666517638505, 1.0, 0.02702776421030195, 0.01437926225613204, 0.002123217382072968, 0.28656184707732363]"
0.08637666348715586,96,7703,"[0.0767005315212272, 1.0, 0.02647778786793331, 0.014571105189992151, 0.002034381039568711, 0.2940099187700625]"
0.09328251077953431,78,7718,"[0.08682282716830966, 1.0, 0.02681640832366572, 0.014536887980204737, 0.005426426698019354, 0.05464719144438415]"
